withdraw cash,1
enter number,1
accept deposit,3
have function,1
have slot,1
dispense envelope,1
make deposit,2
permit deposit,1
check policy,1
insert ATM,1
locate tab,1
endorse check,1
sign they,1
lose check,1
prepare slip,2
use slip,2
fill name,1
add date,1
enter amount,3
sign slip,1
seek cash,1
sign check,1
limit time,1
annoy those,1
use envelope,1
have door,1
reveal envelope,1
spit they,1
transfer it,1
insert check,1
ask you,1
need time,1
prepare deposit,1
give yourself,1
add time,1
get everything,1
insert envelope,2
verify deposit,1
flash light,1
receive envelope,1
write amount,1
need reminder,1
take care,1
correct discrepancy,1
get thing,1
want receipt,1
keep it,1
deposit fund,1
deposit they,1
consider deposit,1
