deposit,38
ATM,38
card,24
bank,20
machine,18
envelope,17
money,15
check,13
account,13
slip,8
cash,8
time,8
amount,8
slot,7
debit,7
fee,6
fund,5
number,5
day,5
pin,5
option,5
line,4
screen,4
area,4
order,4
people,4
banking,4
balance,4
name,3
business,3
information,3
process,3
branch,3
language,3
transaction,3
limit,3
bill,3
convenience,2
button,2
signature,2
address,2
date,2
Wednesday,2
location,2
institution,2
security,2
type,2
safety,2
Press,2
everything,2
paper,2
receipt,2
Mobile,2
credit,2
Chase,2
service,2
withdrawal,2
payment,2
phone,2
Simone,2
store,1
restaurant,1
function,1
article,1
policy,1
part,1
tab,1
luck,1
back,1
checkbook,1
list,1
front,1
teller,1
window,1
door,1
Seal,1
outside,1
light,1
scrap,1
reminder,1
care,1
discrepancy,1
thing,1
record,1
wait,1
availability,1
Monday,1
Sunday,1
noon,1
procedure,1
target,1
robbery,1
crime,1
guard,1
Devices,1
skimmer,1
signal,1
something,1
use,1
variety,1
case,1
interest,1
rate,1
chip,1
side,1
tourist,1
country,1
distance,1
currency,1
change,1
example,1
addition,1
reader,1
Select,1
identification,1
password,1
pad,1
hand,1
onlooker,1
camera,1
criminal,1
digit,1
note,1
length,1
set,1
typing,1
choice,1
way,1
instruction,1
detail,1
envelop,1
car,1
sheet,1
transfer,1
session,1
cut,1
x,1
keypad,1
computer,1
hurry,1
belongings,1
cell,1
Architecture,1
Matteo,1
mate,1
